"","Team","Opponent","Team_Outcome","Winner","OFF_Pas_Comp","OFF_pass_ATT","OFF_pass_CMP_prc","OFF_Pas_AVG","OFF_pass_YDS_pr_G","OFF_pass_TD","OFF_pass_INT","OFF_pass_SACK","OFF_pass_RTG","OFF_rush_ATT","OFF_rush_AVG","OFF_rush_YDS_pr_G","OFF_rush_TD","OFF_rush_FUM","OFF_Turnovers","DEF_Pas_Comp","DEF_pass_ATT","DEF_pass_CMP_prc","DEF_Pas_AVG","DEF_pass_YDS_pr_G","DEF_pass_TD","DEF_pass_INT","DEF_pass_SACK","DEF_pass_RTG","DEF_rush_ATT","DEF_rush_AVG","DEF_rush_YDS_pr_G","DEF_rush_TD","DEF_rush_FUM","DEF_Turnovers"
"156","Miami","Denver","Loss","Home",1.14381099126862,0.97087095834547,1.17813051146384,1.09230769230769,1.07194244604317,1.20472440944882,0.437908496732026,1.1,1.34714285714286,0.995243322356385,0.909090909090909,0.901420217209691,1.0875,2.07692307692308,1.34782608695652,0.911701671667381,0.958321519705132,0.950151057401813,1.12857142857143,1.05741626794258,0.889763779527559,2.0188679245283,1.02692307692308,0.925162689804772,0.941605839416058,0.958333333333333,0.903495440729483,0.75187969924812,1,1.27272727272727
"157","New York Jets","Los Angeles Chargers","Loss","Home",0.687763713080169,0.780266800906116,0.88109756097561,0.859154929577465,0.631715450166728,0.53475935828877,1.19402985074627,1.28985507246377,0.797055730809674,0.884093282283328,1.07894736842105,0.953594176524113,0.791044776119403,0.538461538461539,0.705882352941177,1.24940842404165,1.12327560904021,1.11290322580645,1.11764705882353,1.24096385542169,1.11111111111111,0.8375,1.08092485549133,1.12319644839068,1.01463593121112,0.847826086956522,0.871382636655949,1,1.35,1.24
"158","Green Bay","Indianapolis","Loss","Home",0.994085340092945,0.954376960364984,1.04148148148148,1.06578947368421,0.994600848438102,1.91503267973856,0.492537313432836,0.95,1.23347107438017,1.0049768929968,1.17073170731707,1.18276762402089,0.833333333333333,1,0.818181818181818,0.912549191080018,0.949812518027113,0.960606060606061,0.972972972972973,0.904742268041237,1.04081632653061,0.67,1.17621145374449,1.0188679245283,0.981101728990752,1.24324324324324,1.21743810548977,0.934579439252336,0.65,0.62962962962963
"159","Dallas","Minnesota","Win","Away",1.19626168224299,1.24393318625906,0.962908011869436,0.888888888888889,1.09267687215556,0.784037558685446,0.919540229885058,1.05416666666667,0.890397672162949,0.922416752488843,0.857142857142857,0.778318276580959,0.725,1.65,1.46153846153846,0.920106524633822,0.956764705882353,0.96078431372549,0.948717948717949,0.890229661346828,1.18333333333333,0.645161290322581,1.31292517006803,1.04166666666667,1.071,1.11111111111111,1.19510385756677,1.12389380530973,2.07692307692308,1.63157894736842
"160","Kansas City","Las Vegas","Win","Away",1.15086956521739,1.16578947368421,0.986627043090639,1.02564102564103,1.20178849144635,1.46242774566474,0.886792452830189,0.916167664670659,1.0593471810089,0.889388178361562,1.07142857142857,0.965202982601491,0.666666666666667,0.35,0.416666666666667,0.947826086956522,0.976064569997217,0.971875,0.945945945945946,0.899691358024691,1,1.59701492537313,1.51968503937008,0.915522703273495,0.980051717768748,0.978723404255319,0.961934972244251,0.522875816993464,Inf,3.5
"161","Los Angeles Rams","Tampa Bay","Win","Away",0.963671875,0.943589743589744,1.02134146341463,0.96,0.895147006730429,0.525691699604743,1.19178082191781,1.09285714285714,0.884086444007859,1.27669693039343,1.04878048780488,1.33894736842105,1.27,1.85714285714286,1.58333333333333,0.826218360408009,0.909162303664921,0.909090909090909,0.873239436619718,0.782343368592352,0.594444444444444,0.87,1.04472843450479,0.852127659574468,1.1147763217352,1.08571428571429,1.2141935483871,1.33333333333333,2.53846153846154,1.95
"162","Houston","Detroit","Win","Away",1,0.918322896814593,1.09034267912773,1.18918918918919,1.09473270440252,1.25,0.5,1.12454212454212,1.21498371335505,0.947826086956522,1.05,1,0.6,0.818181818181818,0.789473684210526,1.01098436839882,0.994197853205686,1.01601164483261,0.952380952380952,0.934243621990658,0.828326180257511,0.425531914893617,1.52142857142857,0.988319856244385,0.991118421052632,1.11111111111111,1.11955719557196,0.796407185628743,1.85714285714286,1.4
"163","Washington","Dallas","Win","Away",0.955859375,0.960983025082341,0.993836671802773,0.888888888888889,0.837940174176448,0.55688622754491,1.1625,1.23715415019763,0.875816993464052,0.925567547450688,0.952380952380952,0.897321428571429,1.37931034482759,0,0.157894736842105,1.01929570670526,1.01660006148171,1.00313971742543,0.891891891891892,0.865763008307827,0.657276995305164,1.55,1.51813471502591,0.852,0.827886710239651,0.84,0.698324022346369,0.62992125984252,0.740740740740741,0.838709677419355
"164","Las Vegas","Atlanta","Loss","Home",0.910170162247725,0.878499871564346,1.03697996918336,1.04,0.939715016441359,1.03592814371257,0.726027397260274,0.625468164794007,1.07897545357524,1.13317665491579,1.13513513513514,1.28815368196371,1.5,1.53846153846154,1.33333333333333,0.864661654135338,0.922938607757513,0.937042459736457,0.961038961038961,0.90282131661442,0.865,0.917808219178082,0.679144385026738,0.94228855721393,1.1340594888982,1.06818181818182,1.19526066350711,1.64516129032258,0,0.16
"165","Los Angeles Chargers","Buffalo","Loss","Home",1.01321414691022,1.06801075268817,0.947976878612717,0.89873417721519,0.954047366560622,0.779166666666667,1.11666666666667,1.19653179190751,0.885474860335195,1.11659541391372,0.883720930232558,1.00182315405652,0.720430107526882,0.393939393939394,0.459459459459459,0.951801801801802,0.994163991829588,0.95679012345679,0.985507246376812,1.00583482944345,1.22448979591837,1,0.700404858299595,1.00782997762864,1.04035020936429,0.978723404255319,1.01220504475183,0.84251968503937,1.53846153846154,1.38888888888889
